GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,31.368961203843355,20.31313607469201,681,6,21,"[6.443303614854813, 2.1665784008800983, 1.7863450981676579, 1.5227999463677406, 1.434776697307825, 0.41146722063422203, 0.5265485271811485, 0.3616199418902397, 0.36419185250997543, 0.3296988010406494, 0.34668609127402306, 0.3123977854847908, 0.2969067841768265, 0.3877771869301796, 0.27954060211777687, 0.3420788422226906, 0.3114854544401169, 0.31785590946674347, 0.33846811950206757, 0.4662637524306774, 1.0212193876504898]"
(length (filter (curry le 0) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.97,SmartLabel,True,5.939962990581989,176.31647427752614,6776,115,24,"[8.334796976298094, 9.055575590580702, 18.005722396075726, 6.4739851132035255, 5.116899110376835, 5.83827218413353, 4.755845405161381, 5.651122216135263, 4.57449247688055, 8.918345473706722, 5.0219127386808395, 3.4813098944723606, 3.7442433163523674, 4.01255301758647, 5.8081634901463985, 5.853354021906853, 13.219041164964437, 9.482882902026176, 9.442062519490719, 11.093817215412855, 9.598217982798815, 8.451148800551891, 7.7509472258389, 0.8925830274820328]"
(fold max 0 (filter (curry ge 5) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.97,SmartLabel,True,12.250072836875916,37.72163895517588,6657,29,4,"[16.538147937506437, 5.924161080271006, 7.108725354075432, 3.895994294434786]"
(fold max 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.727500000000001,53.97,SmartLabel,True,48.26617468893528,71.54286555200815,2731,8,29,"[10.24097703024745, 7.71170749515295, 6.8746885843575, 2.09091517329216, 0.49868398159742355, 0.6274942941963673, 0.6178538948297501, 0.6097625829279423, 0.890752375125885, 0.8622556738555431, 0.4592937268316746, 0.9105389341711998, 2.453634835779667, 2.895210810005665, 3.016889926046133, 3.0502621084451675, 3.0631033964455128, 3.196604449301958, 3.367772702127695, 3.701098248362541, 3.696052063256502, 4.524885293096304, 2.3037175871431828, 1.2479437701404095, 0.9468761160969734, 0.8933130912482738, 0.6068372055888176, 0.059278033673763275, 0.12383953109383583]"
(fold plus 0 (map (curry mult 6) (map_imgs pred_int input-list))),,CCE,0.004,2.727500000000001,53.97,SmartLabel,True,4.922956336289644,5.686322499066591,43,19,2,"[2.1603323593735695, 0.6464930139482021]"
(fold plus 0 (filter (curry ge 2) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000014,53.970000000000006,SmartLabel,True,10.75977074727416,21.199238743633032,2050,17,2,"[8.906942818313837, 9.752355426549911]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry plus 4) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000014,53.970000000000006,SmartLabel,True,8.119807962328196,27.634167052805424,4304,1,5,"[14.78059895336628, 6.051908832043409, 6.374457344412804, 0.16414818540215492, 0.11194299533963203]"
(length (filter (curry ge (apply pred_int input-img)) (filter (curry le 7) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000014,53.970000000000006,SmartLabel,True,34.099891256541014,18.427178010344505,1953,1,4,"[7.00626489892602, 6.564015757292509, 4.601275358349085, 0.10482733324170113]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,0.004,2.727500000000002,53.970000000000006,SmartLabel,True,9.266005456447601,55.205150086432695,3558,94,6,"[7.704156596213579, 12.137094385921955, 6.392740018665791, 3.976154822856188, 6.17196237668395, 6.035798788070679]"
(fold plus 0 (map (curry mult (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,44.22762279212475,2.7808231227099895,18,7,2,"[1.2639698646962643, 0.3843662366271019]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,25.132986683398485,126.83116339892149,644,40,16,"[8.742667600512505, 17.417207442224026, 10.835311580449343, 5.682789865881205, 5.991319645196199, 6.506191328167915, 7.247501499950886, 2.257068533450365, 1.890315655618906, 2.149771198630333, 3.345987856388092, 1.5675086341798306, 1.2564987130463123, 10.839448381215334, 18.717841904610395, 18.42838717997074]"
(length (filter (curry ge 4) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.97,SmartLabel,True,8.013872921466827,19.345975413918495,696,58,3,"[5.564700480550528, 4.515355005860329, 1.6349562779068947]"
(fold max 0 (map (curry plus 5) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.97,SmartLabel,True,9.025775447487831,412.332567460835,1001,199,24,"[8.94810638949275, 16.324349250644445, 16.714236237108707, 10.846145629882812, 7.223774369806051, 8.977678820490837, 8.85516644641757, 28.710910852998495, 28.938861791044474, 14.153750624507666, 23.14517041295767, 22.619479805231094, 29.97563262283802, 29.83939539268613, 34.73096790909767, 11.50608129799366, 3.667399786412716, 2.9278864562511444, 7.855306182056665, 9.33789798989892, 9.071157619357109, 14.583073616027832, 31.37037219852209, 26.605168476700783]"
(length (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.004,2.727500000000001,53.97,SmartLabel,True,8.341093689203262,29.722922276705503,961,67,4,"[8.91791745647788, 5.523029774427414, 3.7828495800495148, 3.0279935896396637]"
